Anyone can do that.	任何人都可以做到。
You can hold my hand.	你能握我的手。
He will arrive in Paris tomorrow.	他明天將抵達巴黎。
This conference is very important. Don't miss it.	這場會議很重要，不要錯過了！
Her success made her the target of jealousy.	她的成功让她成为嫉妒心的靶子。
He plays the guitar very well.	他吉他彈得很好。
I am disgusted with him.	我厌恶他。
It is a pity that you cannot come to the party.	很遗憾您不能来派对。
You should quit smoking.	你應該戒菸。
What is learned in the cradle is carried to the tomb.	幼年時學的東西，一輩子不會忘記。
He's eating an apple.	他正吃著一個蘋果。
She is always losing her handkerchief.	她老是弄丢她的手帕。
Please return the book by tomorrow.	請明天前還書。
I'm proud of you.	我以你為榮。
She spends her leisure time making dolls.	她利用空闲时间做布娃娃。
Many kinds of birds live in Japan.	許多種鳥類住在日本。
I wrote a letter to my mother.	我寫了一封信給我的母親。
You and I have the same idea.	你和我有相同的想法。
She should have been more careful.	她本來應該更小心的。
I hope everything goes well.	我希望万事如意。
I wish I could talk to you.	我希望能与你谈话。
I would rather not go there alone.	我寧可不要單獨去那裡。
You talk too much.	你說太多了。
You must keep your eyes open.	你得留意一下。
Nobody tried to help Tom.	没人试图帮汤姆。
You two should get married.	你们两个应该结婚。
Tom is probably pretty rich by now.	汤姆现在可能很有钱。
How many does he want?	他要多少?
Thank you for drawing a bird for me.	謝謝你為我畫鳥。
I'm looking for a part-time job.	我正在找一份兼職的工作。
I can read German, but I can't speak it.	我能看懂德语，但不会说。
Something must be wrong with the machinery.	這個機器一定有什麼地方不對勁。
I want beef, too.	"我也要牛肉。"
I'd rather stay than go.	我寧願待在這裡而不去。
I had a tennis match with him.	我曾與他的比賽網球。
He's a comedian.	他是喜剧演员。
India is a developing country.	印度是发展中国家。
He is old enough to drive.	他夠開車的年紀了。
I arrived in London.	我到達倫敦了。
I saw five men.	我看到了五個男人。
I got up early in the morning.	我早上很早起床。
I hate chemistry.	我讨厌化学。
May I ask you some more questions?	我可以問你一些問題嗎？
I don't understand.	不明白。
May I say something?	我可以說些什麼嗎?
What is this?	這是什麼啊？
I am going to Hawaii next year.	我明年要去夏威夷。
Don't throw rocks into the river.	不要往河裡扔石頭。
I've had enough of your lying.	我听够你的谎话了。
We had an early lunch at school.	我們在學校有一個早午餐。
The road is too narrow for cars.	這條路太窄汽車無法通行。
I do not agree with you at all.	我完全不赞成你的意见。
Are you saying you don't want to go to Tom's party?	你的意思是你不想去汤姆的派对？
Tom knew when Mary would be arriving.	汤姆知道玛丽什么时候来。
Pride goes before a fall.	骄傲使人落后。
Why did you turn down his offer?	你為什麼拒绝了他的提議？
Japan is a rich country.	日本是个富有的国家。
I can't stand that noise.	我不能忍受那個噪音。
You'd better go.	你最好走。
Turn off the TV.	关闭电视机
I don't want to work.	他不爱劳动。
I hope to see you.	我希望能见到你。
Tom got a late start this morning.	汤姆今早出发晚了。
He is not from Hokkaido.	他不是來自北海道。
What subjects are you taking at school?	你在學校裡讀哪些科目?
Get Tom.	找到汤姆。
What is the total amount of money you spent?	你一共花了多少钱？
He likes taking care of the garden.	他喜歡照顧花園。
Her red dress made her stand out.	她的紅色禮服使她引人注目。
At last, she solved the problem.	最後，她解決了這個問題。
He made many excuses for being late.	他為遲到找了很多的藉口。
Will you all be here tomorrow?	明天你一整天都會在這裡嗎?
She gives me a nasty look every time she sees me.	她每次看見我都給露出厭惡的眼神。
Close the door when you leave.	出去的时候把门关上。
They passed by her house yesterday.	他們昨天路過她家。
Excuse me, I'm lost.	不好意思，我迷路了。
This is what I can do for you.	这是我能为您做的。
We gladly accept your offer.	我们很高兴接受你的提议。
I want to drink something cold.	我想喝冷飲。
You look tired.	你看起來很疲倦。
I'll go shopping tomorrow.	我明天要去购物。
I would like to know her name.	我想知道她的名字。
My father has five siblings.	我父親有五個兄弟姐妹。
She glanced briefly at the newspaper.	她很快地瞟了一眼報紙。
The parking lot is free of charge.	停车场是免费的。
I will pick you up around six.	我會在六點鐘左右接你。
We don't have any other choice.	我们别无选择。
The sun rose over the horizon.	太陽升出了地平線。
Do you feel tired?	你覺得累嗎？
A green carpet will not go with this blue curtain.	绿色的毯子和这条蓝色的帘子不配。
Maybe you'll succeed.	也許你會成功。
I feel very sorry for your sister.	我對你姐姐感到非常遺憾。
That red dress suited her.	那件紅色的洋裝適合她。
You need a car if you live in the suburbs.	要住在郊区的话，汽车是必需的。
How come you didn't say anything?	你為什麼都不說話?
I meet him at the club.	我在俱樂部見到他。
Today was fun.	今天很有趣。
I don't know how to go there.	我不知道怎么去那儿。
Give us two knives and four forks, please.	请给我们两把刀和四把叉。
She made him a new suit.	她為他做了一套新衣服。
I want to see your older sister.	我想見你姐姐。
Her argument was not based on facts.	她的观点没有基于事实。
The cost of living has risen.	生活費升高了。
Don't show your face around here again.	你不要再出現在這裡了。
I want you to stay here until I get back.	我想你待在这里直到我回来。
Do you know what I mean?	你知道我的意思嗎？
The accident's only survivor was a baby.	这场灾难的唯一幸存者是一个婴儿。
It's just what I wanted.	我想要的就是这个。
How about playing chess tonight?	今晚下棋怎麼樣？
Actions speak louder than words.	行動勝於雄辯。
Tom is waiting for everyone to leave.	汤姆等着每个人都离开。
I don't mind hot weather.	我不在乎炎熱的天氣。
He is always losing his umbrella.	他總是搞丟了他的傘。
My birthday falls on Sunday.	我的生日在星期日。
He plays baseball every day.	他每天都打垒球。
Hokkaido is very far, isn't it?	北海道很遠，不是嗎？
She's neither rich nor famous.	她既没钱，也不出名。
I went skiing at Zao last winter.	我去年冬天去藏王滑雪。
Please show me the menu.	請給我菜單。
Give it to them.	把它给他们。
I can't stand this heat.	我受不了這麼熱。
Does this bus go to the beach?	這輛公車去海灘嗎？
Please show me around.	請帶我到處看看。
Take as many peaches as you like.	你想拿多少桃子就拿多少。
I heard the song sung in French.	我听过这首歌的法语版。
She's absent because she's sick.	她不在是因为病了。
The problem was very difficult.	這個問題非常困難。
I live in this neighborhood.	我住在這附近。
You're a real friend.	你是個真正的朋友。
The robot went out of control.	這個機器人失控了。
If it happened to Tom, it could happen to you.	如果那發生在Tom身上，也可能會發生在你身上。
He goes to school on foot.	他步行上学。
I just talked to the person in charge.	我刚跟主管人谈过。
He's an excellent brain surgeon.	他是一個優秀的腦外科醫生。
Under no circumstances must you leave the room.	在任何情況下你都不能離開這個房間。
Please call me up between seven and eight.	请在7点到8点钟之间打电话给我。
They became friends in elementary school.	他們在小學時就是朋友了。
They live across the river.	他們住在河對面。
He is alone.	他獨自一人。
He is always at home on Mondays.	他星期一總是在家。
Give me some milk, too.	也給我一些牛奶。
He made friends with her in America.	他與她在美國成為朋友。
Are you planning to take part in the meeting?	你们准备参加会议吗？
I'm sure that it'll be fun.	我确定它将会很有趣
You should pay more attention to his warnings.	你應該多注意他的警告。
His mother looks young for her age.	他媽媽看起來比實際年齡年輕。
It happened at a quarter past eleven.	它發生在十一點一刻。
I know that it is highly unlikely that anyone knows me.	我知道有人认识我的可能性微乎其微。
We kept quiet.	我们保持了沉默。
What's she doing?	她在做什麼？
This is not a sentence.	這不是一個句子。
Cover your head when you are in the sun.	當你在陽光下的時候，遮住你的頭。
She believes that he is innocent.	她相信他是無辜的。
The taxi has arrived.	出租车到了。
Why did you paint the bench red?	为什么你把长凳漆成红色了？
I'd like a window seat, please.	請給我靠窗口的位子。
She always gets her own way.	她總是隨心所欲。
He rushed out of the office.	他急忙出了办公室。
Lansing is the state capital of Michigan.	蘭辛是密西根州的首府。
He has no interest in politics.	他對政治沒有興趣。
What I'm about to say is strictly between you and me.	我要说的只能是你知我知。
He thanked me for coming.	他感謝我的到來。
I threw a stone at the bird.	我扔了块石头打向鸟儿。
I didn't get along with her.	我沒有和她相處過。
We didn't break in.	我们没有打断。
How did you draw this picture?	你怎么画这幅画？
That's too bad.	那太糟糕了。
He lives somewhere about here.	他住在這附近某個地方。
The deadline is approaching.	期限近了。
He was caught cheating in the exam.	他在考試中作弊時被抓到了。
It is imperative for you to act at once.	您必须马上行动。
I want to see him very much.	我非常想见到他。
He likes to cook for his family.	他喜歡為家人做飯。
I'm currently a teacher at this school.	我现在在这所学校任教。
I was surprised at his strong resemblance to his father.	他像极了他父亲，这让我震惊。
Her mother always accompanies her.	她母亲一直陪着她。
We set a trap to catch a fox.	我们设了个陷阱来抓狐狸。
Do I have to stay in the hospital?	我必須留在醫院嗎？
Eighty percent of all information on computers around the world is in English.	全世界百分之八十電腦上的資訊都是用英語寫的。
She really wants to go.	她特别想去。
Can I speak to the head nurse?	我能跟護士長說話嗎?
He didn't show up at the party.	他沒有在派對上出現。
Please wrap it like a Christmas present.	請把它包裝得像一個聖誕禮物。
Alcohol consumption is increasing every year.	酒的消费每年都在上升。
Monopoly is a popular game for families to play.	大富翁是一個家庭玩的熱門遊戲。
Don't beat around the bush.	不要拐彎抹角。
I have eight brothers and sisters.	我有八個兄弟姐妹。
Hurry, and you will catch the train.	快一点，你就能赶上火车了。
No one voted against it.	没有人投反对票。
She asked him questions.	她問了他問題。
I am quite all right now.	我一切都很好。
I can play Chopin.	我會彈蕭邦。
He was wounded in the war.	他是在战争中受伤的。
I don't like the taste of onions.	我不喜歡洋蔥的味道。
He cannot afford to buy a car, much less a house.	他买不起一辆汽车，更不要说一套房子了。
Don't hesitate to ask questions.	不要猶豫去問問題。
Aren't you Tom?	你不是湯姆嗎?
He's stronger than you.	他比你強壯。
Your assistance is indispensable for us.	您的帮助对我们来说是必不可少的。
Why am I still here?	为什么我还在这里？
Watching TV is a passive activity.	看電視是一種被動的活動。
What have you come here for?	你为什么来这儿？
I want to ask you some questions about Tom.	我想问你一些关于汤姆的问题。
Would you pass the salt, please?	請你把鹽遞過來好嗎？
There is a television in the room.	房里有个电视机。
Could you please speak a little bit more slowly?	能否請你說慢一點?
I forgot the date of the meeting.	我忘了會議的日期。
What is love?	愛是什麼？
My legs still hurt.	我的腿还是很痛。
Between you and me, I don't like our new team captain.	我就只告诉你，我不喜欢我们的新队长。
Are you really going to London to study?	你要去伦敦读书是真的吗？
He has already had lunch.	他已经吃过午饭了。
I owe him 1,000 dollars.	我欠他1000美元。
I don't have to clean my room.	我不用打扫房间。
He is not an American.	他不是美国人。
Turn off the gas.	把煤气关了！
I have met him before.	我以前见过他。
It's not that easy to learn a new language after fifty.	五十岁以后学一门新的语言不是那么容易。
It's impossible to get there by noon.	中午到達那裡是不可能的。
The teacher demonstrated the idea with an experiment.	这位老师用试验论证了这个想法。
Everyone noticed.	所有人都注意到了。
He plays tennis very well.	他打网球打得很好。
That's good, isn't it?	那太好了，不是嗎？
Get me a ticket, please.	請給我一張票。
You only gave me fifty cents.	你只給了我五十美分。
That's an interesting idea.	那是个有趣的主意。
I clapped my hands.	我拍手。
You could've answered that question.	你本可以回答那问题。
What's your marital status?	能告诉我你的婚姻状况吗？
I do not remember seeing the letter, but perhaps I read it.	我不記得我看過這封信, 但或許我讀過它。
She might know that we are here.	她或许知道我们在这儿。
I was ashamed of my behavior.	我对自己的行为感到羞愧。
He hasn't answered my letter yet.	他还没回我的信。
This writer is Russian.	这个作家是俄罗斯人。
The cat got through the hedge.	貓從樹籬穿過去。
Will it take long to recover?	復原需要花很長的時間嗎？
I envied his new house.	我羨慕他的新房子。
When does that start?	什么时候开始？
She doesn't have any enemies.	她没有敌人。
Winds from the sea are moist.	从海洋吹来的风感觉湿漉漉的。
Do you have these shoes in my size?	你們這款鞋子有我的尺寸嗎?
I wish you'd go.	我希望你去。
I will stay until tomorrow.	我会待到明天。
I'll prove it to you.	我会给你证明的。
He kept his promise and helped his brothers.	他履行了他的承诺，并且帮助了他的兄弟。
Where in Canada are you from?	你來自加拿大的哪裡？
How about some more roast beef?	再多一些烤牛肉怎麼樣?
Have you ever seen Tokyo Tower?	你曾看過東京鐵塔嗎？
My mother is a good woman.	我媽媽是個好女人。
I was unable to go to his birthday party.	我那时没法去他的生日派对。
Are you planning to help them?	你打算幫助他們嗎？
What time will you have breakfast?	你什麼時候吃早餐？
Why me?	为什么是我？
This book is beautifully illustrated.	这本书有精美的插图。
The fox and the bear lived together.	這隻狐狸和這隻熊一起生活了。
Do you think I'm crazy?	你认为我疯了吗？
Read it once more, please.	請再讀一次。
It looks like a duck.	它看起來像一隻鴨子。
Are you looking for work?	你是在找工作吗？
My father walks.	我爸爸走路。
Hopefully, we'll enjoy our China trip.	希望我們會喜歡我們的中國之旅。
Why don't you go home?	你为什么不回家呢？
I'm going to check.	我正要去签到。
Tom's uncle keeps a lot of sheep.	湯姆的叔叔養了很多羊。
I'll treat you.	我請你。
Could you take this, please?	請你拿這個好嗎?
He arrived after I had left.	我走之后他到达了。
I need someone to talk with.	我得找人商量一下。
Skip it.	不管它。
Would you like some salad?	你要來點兒沙拉嗎?
I sometimes watch TV.	我有時看電視。
I'm full.	我吃飽了。
He is a learned man.	他是个有教养的人。
I was very busy last week.	上星期我非常地忙。
I will wait.	我會等。
It's too dark to play baseball now.	現在太暗無法打棒球。
Children like fruit juice.	孩子們喜歡果汁。
She wouldn't let up until I agreed to go to the movies with her.	她不愿松开我，直到我同意和她去电影院。
He asked me a question.	他問了我一個問題。
Tom bought a mobile phone.	汤姆买了个手机。
I hope people are satisfied.	我希望人们满意。
My father retired at the age of 65.	我的父亲65岁的时候退休了。
The poor people were at the mercy of the cruel dictator.	可憐的人民任憑殘暴的獨裁者處置。
It's clear that there's a rather strong disagreement between the two.	很明顯的是這兩者之間有很強烈的分歧。
That's no big deal.	那没什么大不了的。
What she said did not make sense.	她說的話沒有道理。
He is good at playing tennis.	他打网球打得很好。
I recognized some of the tunes that Tom played.	我认出了些汤姆演奏的调子。
I lived in Japan three years ago.	我三年前住在日本。
Yesterday I spent the whole day working.	昨天我一整天都在工作。
It's not something anyone can do.	这不是任何人都能做的事。
Tom doesn't have a fever.	汤姆没有发烧。
"Will he pass the examination?" "I am afraid not."	"他會通過考試嗎?" "我怕是不會。"
I'd like a glass of water, please.	我要一杯水，謝謝。
They fell into the conversation immediately.	他们很快就聊起来了。
What did you do last night?	你昨天晚上做什麼?
He knows how to swim.	他会游泳。
They got married and settled near Boston.	他們結了婚並定居在波士頓附近。
I've heard that name somewhere before.	我在别处听过那个名字。
I'll be in my office from ten tomorrow.	我明天十点起会在办公室里。
Does he go to school on foot or by bicycle?	他走路去学校还是骑车去学校？
I haven't started anything yet.	我还没开始做任何事。
He often takes me for a drive.	他常常載我去兜風。
How much money do you have?	你有多少錢？
You were at my wedding.	你出席了我的婚礼。
There is a good chance that gasoline prices will go up.	油价上涨的可能性很高。
My plan is to buy a car.	我打算買輛車。
He is a famous baseball player.	他是一位著名的棒球選手。
He told me to wash my face.	他叫我洗脸。
Thank you for your invitation.	感謝您的邀請。
He went to New York on Monday.	他星期一去了紐約。
Be quiet, or the baby will wake up.	安靜，否則嬰兒會醒來。
English is easy to learn.	英語簡單易學。
I just wish we could leave this horrible place.	我只是希望我们能离开这个可怕的地方。
I have absolute trust in you.	我絕對信任你。
She couldn't answer the question.	她無法回答這個問題。
I sometimes still think about her.	有時候，我還是會想起她。
He has been very busy this week.	他這個星期一直很忙碌。
Everybody is immune to smallpox nowadays.	現今每個人都對天花免疫了。
We should call the police.	我们该报警。
Your proposal is worthy of being considered.	你的提议值得考虑。
She looks unhappy.	她看起來不快樂。
The taxi picked up two passengers.	這輛計程車載了兩名乘客。
I've always wanted to climb Mt. Fuji.	我一直想登富士山。
They greeted me with a smile.	他們面帶微笑向我打招呼。
My father has a restaurant.	我父亲有家餐馆。
I don't expect anything from you.	我不指望从你身上得到什么。
He has been to Hokkaido.	他曾去過北海道。
Tom gave me a pen.	湯姆給了我一枝筆。
I go to church every day.	我每天上教堂。
She's dieting.	她在节食中。
He likes watching TV.	他喜歡看電視。
Tom should've already discussed that with you.	汤姆应该已经跟你讨论过那事了。
I've finished reading the book.	我看完了这本书。
Our school's principal is very old.	我校校长很老了。
You'll get used to it.	你会习惯的。
Tom's house has three bedrooms.	Tom的房子有三個房間。
He's a tall boy.	他是一个高大的男孩。
I can't believe you are eating something the doctor has told you repeatedly you shouldn't eat.	真的不敢相信你在吃医生叮嘱不要食用的东西。
You don't need to work on Sundays.	星期天的時候，你不用工作。
Don't throw a stone at the dog.	不要对狗丢石头。
He makes the most of his opportunities.	他充分利用他的機會。
Black suits you.	黑色很衬你。
Give me something to write with.	給我些可以寫字的東西。
They must have made a mistake.	他們一定是犯錯了。
Would you like to drink anything?	你想喝點什麼嗎？
How much sugar do you use?	你用多少糖？
She showed the visitor her baby.	她给客人看了她的宝宝。
You have to be patient.	你必須有耐心。
Could I borrow a pencil?	我能借支铅笔吗？
All plants need water and light.	所有的植物都需要陽光和水。
One of your buttons has come off.	你的一個按鈕脫落了。
You know too much.	你知道得太多了。
We didn't know what to do next.	我們不知道下一步要做什麼。
This is not important.	這個不重要。
He died of lung cancer.	他死於肺癌。
Have you had your eyesight checked recently?	你最近检查视力了吗？
What's the weight of your suitcase?	你的行李多重？
What happened to you last night?	昨晚你發生了什麼事？
I don't smoke weed.	我不吸大麻。
I asked her out on a date.	我請她出去約會。
I don't know if I'll have time to do it.	我不知道我是否有时间做。
Excuse me for interrupting you.	對不起，打擾你了。
Do you want to be rich?	你想致富嗎？
It's on the sofa.	它在沙發上。
I knew what Tom was doing.	我知道汤姆在做什么。
I respect the elderly.	我尊敬长辈。
A bookstore in that location wouldn't make enough money to survive.	那個地點的書店無法賺足夠的錢生存下去。
I know the problem.	我知道问题。
Where did you see her?	你在哪儿看到了她？
Will you switch seats with me?	您愿意跟我换座位吗？
She has been absent since last Wednesday.	从上周三起，她一直缺席。
Tom hugged Mary.	汤姆拥抱了玛丽。
My father made me a delicious lunch.	我父親為我做了一頓美味的午餐。
The wind calmed down.	风停了。
Be careful not to drive the wrong way on a one-way street.	小心不要在单行道逆向行驶。
A plastic dish will melt on the stove.	塑料盘子在烤箱里会化的。
It cost him 50 dollars to rent a car in Hawaii.	他花了50美元在夏威夷租了一辆汽车。
You work as hard as he did at your age.	你跟他在你這個年紀時一樣努力工作。
The United States is abundant in natural resources.	美国的自然资源很丰富。
Please write with a pen.	请用钢笔写。
I want Tom to win.	我想让汤姆赢。
Many of the immigrants changed their names.	许多移民改了名字。
French is my mother tongue.	法语是我的母语。
My brother takes care of our dog.	我弟弟照顧我們的狗。
Give some meat to the dog.	給這隻狗一些肉。
It's a pleasure to have you with us again.	真高兴你又跟我们在一起了。
We generally drink tea after a meal.	我們通常飯後喝茶。
I really need a drink now.	我现在真需要来杯喝的。
Look at that tall building.	看那棟高樓。
He and his sisters are currently living in Tokyo.	他和他的姐妹们目前都住在东京。
I've lost my pen.	我弄丟了我的筆。
Those are my trousers.	那些都是我的褲子。
Don't be cruel to animals.	不要虐待动物。
Mt. Fuji is Japan's tallest mountain.	富士山是日本最高的山。
Forewarned is forearmed.	凡事要預先準備好。
What prevented you from coming earlier?	什麼阻止你早點來了?
I have a high fever.	我烧得很厉害。
Our school is near the station.	我們學校在車站的附近。
None of these buses go to Shinjuku.	這些巴士中沒有一輛去新宿。
I've got things under control.	我控制住了。
It's 3:30.	3点半了。
That child has few friends.	那孩子沒有什麼朋友。
Being a good conversationalist does not just mean being a good speaker of English.	作為一個良好的交談者，並不只意味著作一個英語說得好的說話者。
My parents have gone to the airport to see my uncle off.	我父母去机场送我叔叔了。
Shortly after the accident, the police came.	事故發生後不久，警察來了。
Not everything can be bought with money.	不是所有的東西都可以用金錢買到。
Professional writers do not have a regular income.	專職作家沒有固定的收入。
I saw a strange woman there.	我看见一位陌生女人在那儿。
You have to speak English here.	你在這裡必須說英語。
What did you major in at college?	你大學時主修什麼？
Tom probably knew who I was.	汤姆可能知道我是谁。
You are her daughters.	你是她的女兒。
Stand up.	起立。
Classes begin next week.	课程下周开始。
I am afraid of death.	我怕死。
Please do not open the windows.	请不要开窗。
Write it down before you forget it.	在你忘記之前把它寫下來。
I have not heard from her recently.	我最近沒有收到她的信。
Don't open that.	别打开那个。
Rice is sold by the kilogram.	米以公斤為單位來出售。
I know what you did.	我知道你做了什么。
I'd like seats on the first floor.	我想要一樓的座位。
Please send me a letter.	請寄信給我。
We go to the same school.	我們上同一所學校。
I asked for a table over there.	我在那裡要了一張桌子。
She stayed in the house all day.	她整天待在房子裡。
What time do you leave for school?	你幾點鐘去學校？
Tom didn't understand what the teacher said.	汤姆没明白老师说了什么。
What souvenir do you think she would like most?	你觉得她最想要什么纪念品？
She has an eye for beauty.	她有一雙美麗的眼睛。
They were carelessly unaware of the danger.	他们粗心大意，还没意识到危险。
Let me know when you need me again.	再需要我就告诉我。
I don't want to be friends with you.	我不想跟你交朋友。
I'm old enough to live by myself.	我年紀夠大了可以自己一個人住。
Does the letter need to be written in English?	這封信需要用英文寫嗎？
I should be happy.	我該高興。
Rome wasn't built in a day.	罗马不是一天建成的。
A little walk will give you a good appetite for breakfast.	散散步將會給你很好的食慾吃早餐。
You should talk directly to Tom.	你应该直接跟汤姆说。
Are you able to play organ?	你能演奏管风琴吗？
They say that old house is haunted.	據說老房子鬧鬼。
There are a few shops next to my house.	我家旁边有几家商店。
Mary set the basket on the table.	瑪麗把籃子放在桌子上了。
I lent him a CD.	我借给他一盘CD。
Few students could understand what he said.	幾乎沒有學生能懂他所說的話。
She cried bitterly.	她痛哭了起來。
I found out where she was.	我弄清楚她在哪儿了。
We can't just fire Tom.	我们不能仅仅就这样炒了汤姆
Tell me what you did to Shounan.	告诉我你对湘南做了什么。
The baby is sleeping in the cradle.	嬰兒正在搖籃裡睡覺。
May I introduce myself?	我可以自我介紹嗎?
As for me, I have nothing to say.	以我之见，我无话可说。
His wife is quite a talented woman.	他老婆很有才。
A light bulb gives light.	灯泡发光。
We don't expect Tom to live much longer.	我们不指望汤姆能活得更久。
When listening to a lecture, you should be quiet.	听讲座时，你应该保持安静。
What was it we were talking about?	我们那个时候讨论的是什么？
Could I get one more beer, please?	再給我一瓶啤酒好嗎？
He was very friendly to everybody.	他對每個人都非常友善。
That's the computer on which he writes his articles.	那就是那台他用来写文章的电脑。
Keep your mouth shut and your eyes open.	闭嘴看着。
Why don't you come visit us?	为什么你不来看我们？
I've got wine.	我有酒。
I'm really sorry to hear that.	听到这样的消息我真的很难过。
I have to explain this to Tom.	我必須向Tom解釋這個。
He left his son a large fortune.	他留給了他的兒子一大筆財富。
The weather is nice tonight.	今晚天公作美。
Where in Australia did you grow up?	你在澳洲的哪裡長大?
He was kind enough to lend me some money.	他够大方，借了我一点钱。
I don't care what happens.	我不在乎發生什麼事。
I'll ask Tom to wait.	我會請Tom等。
The doctor examined the patients.	醫生檢查了病人。
Do you have school on Saturdays?	你星期六要上學嗎？
It's wrong to deceive people, but worse to deceive yourself.	欺騙別人是錯的, 但更糟的欺騙自己。
Karaoke is good for reducing stress.	卡拉OK對減輕壓力有益。
It's just around the corner.	就在转角处。
My son is taller than I am.	我兒子比我高。
Why have you been late to school every day this week?	為什麼你這個禮拜每天上學都遲到？
If it looks like an apple and it tastes like an apple, it's probably an apple.	如果看起来像个苹果而且吃起来也像苹果的话，可能就是苹果。
Tom and Mary own a small organic farm.	汤姆和玛丽拥有一个小型的有机农场。
I usually have breakfast at seven.	我通常七點吃早餐。
Boil the water.	把水燒開。
The wind is blowing from the east.	風從東方吹來。
I plan to break up with her.	我打算與她分手。
The grass looks nice.	草地看来不错。
He doesn't drink coffee.	他不喝咖啡。
This isn't a trivial matter.	这不是鸡毛蒜皮的小事。
I'm a social worker.	我是個社會工作人員。
Last month our twenty-year-old daughter gave birth to a baby girl.	上个月，我们20岁的女儿生了个女孩。
Did he admit that he was wrong?	他承认他错了吗？
When do you close?	你們公司幾點下班?
I looked, but I didn't see anything.	我看過了, 但是沒看到什麼東西。
I think your basic theory is wrong.	我認為你的基本理論是錯的。
It is difficult to speak three languages.	說三種語言是很困難的。
You should go.	你應該去。
Who was here?	谁来了这里？
I have a reservation for tonight.	我有今晚的預訂。
Not a single person arrived late.	沒有一個人遲到。
She doesn't care how she dresses.	她不在乎她的穿著。
Did you grade the tests?	你給測驗評分了嗎?
Can you please shut up?	你可以閉嘴嗎？
Read this now.	现在读这个。
You look pale.	你看起來很蒼白。
It is difficult to understand his theory.	他的理论很难懂。
She is giving a party tonight.	她今晚舉行派對。
I think you've mistaken me for someone else.	我想你將我認成別人了。
He finally became the president of IBM.	他終於成了IBM的總經理。
I don't approve your decision.	我不同意你的決定。
Join us.	来加入我们吧。
I'm just writing a letter to my girlfriend.	我只是在写一封信给我的女友。
I have to call Tom.	我得给汤姆打电话。
The Tigers lost the game, which was a surprise to us.	我們覺得很驚訝老虎隊竟然輸掉了比賽。
With a firm goal in mind, you will do well.	有了坚定的目标，你会做得很好。
I worry about him.	我擔心他。
Don't tell lies.	别说谎!
We'll have to go back.	我们还得回去。
Mom is preparing a meal in the kitchen.	媽媽正在廚房裡做飯。
He's three years older than her.	他比她大三岁。
You had better not smoke while on duty.	當你值勤時最好不要抽煙。
You are liable for the debt.	你有义务还债。
He was absent from school yesterday.	他昨天没来上学。
Have you chosen a major yet?	你选好专业了吗
She used to play tennis on Sunday.	她以前在週日打網球。
She graduated from high school last year.	去年她從高中畢業了。
He has some money in the bank.	他银行里有点钱。
They gave in to my opinion.	他們屈服於我的看法了。
Why should anyone be surprised?	为什么任何人应该感到惊喜？
He majored in drama at college.	他在大學主修戲劇。
I'm tired of eating fast food.	我厌倦吃快餐了。
Is there anybody in the house?	屋里有人吗？
What he said yesterday is not true.	他昨天說的不是真的。
Mary is a very pretty girl.	瑪麗是一個非常漂亮的姑娘。
I don't meet him so often.	我不常見到他。
You're the only one who can protect them.	你是唯一能保护他们的。
Are you guys crying?	你們在哭嗎？
I'm not tired at all.	我根本不累。
This is too big.	這個太大了。
You're probably smarter than you think.	你可能比你想的更聪明。
Tom didn't give me what I asked him for.	汤姆没给我我跟他要的。
She was frequently late for school.	她經常上學遲到。
What is the theme of his latest novel?	他最后一本小说的主题是什么？
This is a wig.	这是假发。
I can comfort her.	我可以安慰她。
You have to start somewhere.	你必须有一个出发点。
Do your best.	盡力而為。
That's true.	這是真的。
Tom came to Boston three years ago.	汤姆三年前去了波士顿。
The contract is in the bag, so let's go out and celebrate.	合同已经到手了，那就出去庆祝一下吧。
She's my type.	她是我的菜。
He did not appear until about noon.	直到快要中午前他都沒出現。
Hey, you! What are you doing?	嘿，你！你在幹什麼？
I'm serious.	我是認真的。
This might not be a genuine diamond.	這可能不是真的鑽石。
The noise frightened the baby.	噪声吓到了婴儿。
My father is a bit old-fashioned.	我爸爸有点守旧。
He died three years ago.	他三年前死了。
That's our house.	那是我們的房子。
I talked to her.	我跟她谈了话。
Tom says he didn't know what to do.	汤姆说他不知道要做什么。
English is studied in Japan.	在日本的人學習英語。
There was a lot of snow last year.	去年下了很多雪。
It's cool this morning, isn't it?	今天上午很涼爽，不是嗎？
There is a post office close by.	附近有一間郵局。
We have four French classes a week.	我們一週有四堂法語課。
Would you mind coming with me?	你介意跟我一起来吗？
The weather changes very often in England.	英国的天气经常变。
Tom died recently.	汤姆最近死了。
The youngest daughter was particularly beautiful.	么女長得特別漂亮。
I'm not your mother.	我不是你母親。
I can't finish the job in so short a time.	我無法在這麼短的時間內完成這份工作。
Bring him in.	带他进来。
How long is the Rainbow Bridge?	彩虹橋有多長？
The average height of the girls in class is over 155 centimeters.	这个班的女生平均身高超过了155公分。
He must be Tom's brother.	他一定是湯姆的兄弟。
It is not a watch.	這不是手錶。
I found the key underneath the mat.	我在擦鞋墊下面發現了這把鑰匙。
I advertised my house in the newspaper.	我在报纸上刊登了我的房子的广告。
You can come with me.	你可以跟我來。
I don't like studying in this heat.	我不喜歡在這麼熱的氣溫下唸書。
I suppose you like him.	我猜想您喜欢他。
I found this in your desk drawer.	我在你的桌子抽屉里找到了这个。
